portfolio,agency,program,scheme,value12_13,diff_percent,difference,value13_14,value14_15,value15_16,value16_17,source
Department of the Interior,Department of the Interior,"Interest on Principal, Utah Mitigation and Conservation Fund",Other interest,25000,,-33000,-8000,-8000,-9000,-9000,
Department of the Interior,Department of the Interior,"Federal Contributions to Principal, Utah Mitigation and Conservation Fund",Water resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Contributions from Project Beneficiaries (District), Utah Mitigation and Reclamation Fund",Water resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Contributions from Project Beneficiaries (WAPA), Utah Mitigation and Conservation Fund",Water resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Contributions from Project Beneficiaries (WAPA), Utah Mitigation and Conservation Fund",Water resources,-3000,,3000,0,0,0,0,
Department of the Interior,Department of the Interior,"Annual Appropriations for Commission, Utah Mitigation and Conservation Fund",Water resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Payment from Tribal Economic Recovery Funds,Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Earnings on Investment, Tribal Economic Recovery Funds",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Natural Resources Damages from Legal Actions,Conservation and land management,-124000,,37000,-87000,-80000,-80000,-80000,
Department of the Interior,Department of the Interior,"Natural Resources Damages from Legal Actions, EOI",Other interest,-2000,,-1000,-3000,-3000,-3000,-3000,
Department of the Interior,Department of the Interior,"Land Sales, Southern Nevada Public Land Management",Conservation and land management,-7000,,-6000,-13000,-5000,-6000,-6000,
Department of the Interior,Department of the Interior,"Earnings on Investments, Southern Nevada Public Land Management",Other interest,-1000,,0,-1000,-1000,-1000,-3000,
Department of the Interior,Department of the Interior,Everglades Restoration Account (Farm Bill),Recreational resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Deposits, Operation and Maintenance, Indian Irrigation Systems",Area and regional development,-29000,,1000,-28000,-29000,-29000,-29000,
Department of the Interior,Department of the Interior,"Earnings on Investments, Operation and Maintenance, Indian Irrigation Systems",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Unrealized discount, Ops. and maint., Indian irrigation systems",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Alaska Resupply Program,Area and regional development,-1000,,-1000,-2000,-3000,-3000,-3000,
Department of the Interior,Department of the Interior,"National Forests Fund, Payments to States",Conservation and land management,-10000,,2000,-8000,-8000,-8000,-8000,
Department of the Interior,Department of the Interior,"Receipts from sale of obsolete vessels, Interior share",Water resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,User Fees for Filming and Photography on Public Lands,Recreational resources,-1000,,0,-1000,-1000,-1000,-1000,
Department of the Interior,Department of the Interior,"Leases of Lands Acquired for Flood Control, Navigation, and Allied Purposes",Conservation and land management,-24000,,-2000,-26000,-27000,-27000,-28000,
Department of the Interior,Department of the Interior,Timber Sale Pipeline Restoration Fund,Other natural resources,-4000,,0,-4000,-2000,-2000,-2000,
Department of the Interior,Department of the Interior,"Recreation Enhancement Fee, Fish and Wildlife Service",Recreational resources,-5000,,0,-5000,-5000,-5000,-5000,
Department of the Interior,Department of the Interior,"Surplus Land Sales, Federal Land Disposal Account",Conservation and land management,0,,0,0,-5000,-10000,-19000,
Department of the Interior,Department of the Interior,"Annual Passes, National Park Passport Program",Recreational resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Federal Fund Payments, Tribal Special Fund",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Earnings on Investment, Tribal Special Fund",Other interest,-1000,,0,-1000,-1000,-1000,-1000,
Department of the Interior,Department of the Interior,"Interest on Investments in GSEs, Tribal Special Fund",Area and regional development,-18000,,0,-18000,-18000,-19000,-20000,
Department of the Interior,Department of the Interior,"Return of Principal from Private Sector Investments, Tribal Special Fund",Area and regional development,-292000,,-2000,-294000,-304000,-313000,-324000,
Department of the Interior,Department of the Interior,"Miscellaneous Sales of Assets, Tribal Special Fund",Area and regional development,0,,-1000,-1000,-1000,-1000,-1000,
Department of the Interior,Department of the Interior,"Sale of Natural Gas and Oil Shale, Naval Oil Shale Reserves 1 and 3",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Miscellaneous Fees, Glacier Bay National Park Resource Protection",Recreational resources,-3000,,0,-3000,-4000,-4000,-4000,
Department of the Interior,Department of the Interior,"Recreation Enhancement Fee, BLM",Recreational resources,-17000,,-1000,-18000,-19000,-19000,-20000,
Department of the Interior,Department of the Interior,"Interest Earned, Environmental Improvement and Restoration Fund",Other interest,-40000,,39000,-1000,-2000,-3000,-13000,
Department of the Interior,Department of the Interior,"Federal Payment, Multinational Species Conservation Fund",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Park Concessions Franchise Fees,Recreational resources,-72000,,-2000,-74000,-77000,-90000,-93000,
Department of the Interior,Department of the Interior,"Payments from the general fund, African Elephant Conservation Fund",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Property Sales, Dutch John",General purpose fiscal assistance,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Land Sale, Deschutes County, Oregon",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Lincoln County Land Act Land Sales,Conservation and land management,0,,0,0,0,-1000,-1000,
Department of the Interior,Department of the Interior,"Interest, Lincoln County Land Act Land Sales",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Federal Payments, San Gabriel Basin Restoration Fund",Water resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Earnings on Investments, San Gabriel Basin Restoration Fund",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Payment from the General Fund, Title II Projects on Federal Lands",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Gifts, Community Partnership Enhancement",Conservation and land management,0,,-1000,-1000,-1000,-1000,-1000,
Department of the Interior,Department of the Interior,San Joaquin River Restoration Fund Receipts,Water resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Washington County, Utah Land Acquisition Account",Conservation and land management,0,,0,0,-1000,0,-1000,
Department of the Interior,Department of the Interior,Payment from Federal Land Disposal Account to Owyhee Land Acquisition Account,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Rent from Mineral Leases, Permit Processing Improvement Fund",Conservation and land management,-19000,,-2000,-21000,-19000,0,0,
Department of the Interior,Department of the Interior,"Geothermal Lease Revenues, County Share",General purpose fiscal assistance,-4000,,0,-4000,0,0,0,
Department of the Interior,Department of the Interior,"Geothermal Lease Revenues, Department of Interior Share",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Lease Revenues from Naval Petroleum Reserve Numbered 2 Lands,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Power Revenues, Indian Irrigation Projects",Area and regional development,-73000,,3000,-70000,-71000,-73000,-74000,
Department of the Interior,Department of the Interior,"Earnings on Investments, Indian Irrigation Projects",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Unrealized discount, Indian irrigation projects",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Revenues, Colorado River Dam Fund, Boulder Canyon Project",Water resources,-96000,,-16000,-112000,-111000,-111000,-115000,
Department of the Interior,Department of the Interior,"Sale of Water, Section 40(d) Mineral Leasing Act of 1920",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Deposits for Educational Expenses, Children of Employees, Yellowstone (including Visitor Fees, Leased Federal Acquired Properties)",Recreational resources,-1000,,0,-1000,-1000,-1000,-1000,
Department of the Interior,Department of the Interior,"Fees from visitors to Grand Teton and Yellowstone National Parks, 25% fund",Recreational resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Fees from leased Federally acquired properties, Independence National Historical Park",Recreational resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Judgment Fund Payment, Trust Land Consolidation Fund",Area and regional development,0,,-1900000,-1900000,0,0,0,
Department of the Interior,Department of the Interior,Sale of Public Lands and Materials,Conservation and land management,-2000,,2000,0,0,0,0,
Department of the Interior,Department of the Interior,Oregon and California Land-grant Fund,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Funds reserved, Oregon and California grant lands",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Deposits, Oregon and California Grant Lands",Conservation and land management,-12000,,0,-12000,0,0,0,
Department of the Interior,Department of the Interior,"Payments from the General Fund, Oregon and California Land Grants",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Receipts from national grasslands, Bureau of Land Management",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Coos Bay Wagon Road Grant Fund,Conservation and land management,-1000,,1000,0,0,0,0,
Department of the Interior,Department of the Interior,"Deposits, Coos Bay wagon road grant lands, 75% fund",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Funds Reserved, Coos Bay Wagon Road Grant Lands",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Payments from the General Fund, Coos Bay Wagon Road Grant Lands",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"User Fee Plug, Interior",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"User Fee Plug, Interior",Recreational resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Federal Fund Payments, Tribal Trust Fund",Area and regional development,0,,-1000,-1000,-1000,-1000,-1000,
Department of the Interior,Department of the Interior,"Interest on Investments in GSEs, Tribal Trust Fund",Other interest,-4000,,0,-4000,-5000,-5000,-5000,
Department of the Interior,Department of the Interior,"Return of Principal from Private Sector Investments, Tribal Trust Fund",Area and regional development,-92000,,-1000,-93000,-96000,-99000,-102000,
Department of the Interior,Department of the Interior,"Miscellaneous Sales of Assets, Tribal Trust Fund",Area and regional development,-3000,,0,-3000,-3000,-3000,-3000,
Department of the Interior,Department of the Interior,Donations to National Park Service,Recreational resources,-44000,,14000,-30000,-30000,-30000,-30000,
Department of the Interior,Department of the Interior,"Bequest of Geo. C. Edgeter, Indian Tribal Funds",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Contribution for Jefferson National Expansion Memorial, NPS",Recreational resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Contributions and Deposits, BLM",Conservation and land management,-24000,,-1000,-25000,-25000,-25000,-25000,
Department of the Interior,Department of the Interior,"Deposits, Reclamation Trust Funds",Water resources,0,,-3000,-3000,-3000,-3000,-3000,
Department of the Interior,Department of the Interior,"Federal Payment, Crow Creek Sioux Tribe Infrastructure Development Trust Fund",Energy supply,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Deposits, Contributed Funds, Fish and Wildlife Service",Conservation and land management,-3000,,0,-3000,-3000,-3000,-3000,
Department of the Interior,Department of the Interior,"Contributions, Bureau of Mines",Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,NCIRWRS-TF- Federal Payments to the Trust Fund,Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Donations and contributed funds,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Gifts and Donations, Bureau of Indian Affairs","Elementary, secondary, and vocational education",0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Indian Tribal Funds, Awards",Other general government,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Federal Payment to the Alaska Native Fund, Indian Tribal Funds",Other general government,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Eastern Indian Land Claims, Maine, Indian Tribal Funds",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Indian Tribal Funds, Interest, Other",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Indian Tribal Funds, Return of Principal from Private Sector Investments",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Indian tribal funds, sale of minerals",Other general government,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Cooperative Fund (Papago), Bureau of Indian Affairs",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Cooperative Fund (Papago), Bureau of Indian Affairs, Gifts and Donations",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Payment from the General Fund, Navajo Rehabilitation Trust Fund",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Take Pride in America, Interior",Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Sale of agricultural products, Deposits, proceeds, etc., Indian",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Interest, other, Deposits, proceeds, etc., Indian Tribal funds",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Fees for services, Indian Tribal Funds, Interior",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Contributed Funds, Geological Survey",Other natural resources,-1000,,0,-1000,-1000,-1000,-1000,
Department of the Interior,Department of the Interior,"Contributions, funds for the advancement of the Indian race, Bureau of Indian Affairs",Area and regional development,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Interest,other,deposits,funds contributed for the advancement of the Indian race",Other interest,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,"Receipts, trustee, Alaska townsites, BLM, Interior",Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Department of the Interior,Deltas between the Annualized CR Amounts and the FY 2013 Budget Request,Conservation and land management,0,,55000,55000,21000,2000,1000,
Department of the Interior,Department of the Interior,Deltas between the Annualized CR Amounts and the FY 2013 Budget Request,Other natural resources,0,,-277000,-277000,-27000,-8000,0,
Department of the Interior,Bureau of Land Management,Management of Lands and Resources,Conservation and land management,957000,,3000,960000,982000,1048000,1065000,
Department of the Interior,Bureau of Land Management,Management of Lands and Resources,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,Construction,Conservation and land management,17000,,-11000,6000,5000,3000,2000,
Department of the Interior,Bureau of Land Management,Oregon and California Grant Lands,Conservation and land management,108000,,2000,110000,116000,121000,124000,
Department of the Interior,Bureau of Land Management,Gold creek property account,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,Helium Fund,Other natural resources,-177000,,-15000,-192000,0,1000,0,
Department of the Interior,Bureau of Land Management,Working Capital Fund,Conservation and land management,-13000,,3000,-10000,-12000,-1000,-1000,
Department of the Interior,Bureau of Land Management,Recreation development and operation of recreation facilities,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,"Service Charges, Deposits, and Forfeitures",Conservation and land management,30000,,4000,34000,34000,68000,69000,
Department of the Interior,Bureau of Land Management,Land Acquisition,Conservation and land management,25000,,-1000,24000,19000,31000,34000,
Department of the Interior,Bureau of Land Management,Land Acquisition,Conservation and land management,0,,0,0,4000,8000,4000,
Department of the Interior,Bureau of Land Management,Hardrock Reclamation Fund,Conservation and land management,0,,0,0,0,0,50000,
Department of the Interior,Bureau of Land Management,Range Improvements,Conservation and land management,11000,,-1000,10000,10000,10000,10000,
Department of the Interior,Bureau of Land Management,Miscellaneous Permanent Payment Accounts,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,Miscellaneous Permanent Payment Accounts,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,Miscellaneous Permanent Payment Accounts,Conservation and land management,47000,,-7000,40000,14000,6000,6000,
Department of the Interior,Bureau of Land Management,Miscellaneous Permanent Payment Accounts,General purpose fiscal assistance,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,Miscellaneous Permanent Payment Accounts,General purpose fiscal assistance,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,Permanent Operating Funds,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Land Management,Permanent Operating Funds,Conservation and land management,350000,,-67000,283000,226000,210000,209000,
Department of the Interior,Bureau of Land Management,Miscellaneous Trust Funds,Conservation and land management,23000,,1000,24000,27000,28000,29000,
Department of the Interior,Bureau of Ocean Energy Management,Ocean Energy Management,Conservation and land management,2000,,24000,26000,70000,71000,73000,
Department of the Interior,Bureau of Ocean Energy Management,Ocean Energy Management,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Regulation and Technology,Conservation and land management,71000,,14000,85000,77000,76000,78000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Regulation and Technology,Conservation and land management,48000,,1000,49000,41000,41000,41000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Payments to States in Lieu of Coal Fee Receipts,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Payments to States in Lieu of Coal Fee Receipts,Conservation and land management,156000,,-74000,82000,99000,85000,47000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Payments to States in Lieu of Coal Fee Receipts,General purpose fiscal assistance,0,,339000,339000,137000,1000,1000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Supplemental Payments to UMWA Health Plans,Health care services,206000,,-65000,141000,180000,185000,164000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,Conservation and land management,23000,,-22000,1000,1000,1000,1000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,Conservation and land management,18000,,9000,27000,27000,28000,28000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,Conservation and land management,0,,28000,28000,26000,40000,50000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,Conservation and land management,172000,,-54000,118000,178000,168000,171000,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,Health care services,0,,0,0,0,0,0,
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,Health care services,48000,,7000,55000,15000,6000,23000,
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Liquidating Account,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Liquidating Account,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Liquidating Account,Water resources,-18000,,17000,-1000,-1000,-1000,-1000,
Department of the Interior,Bureau of Reclamation,Water and Related Resources,Water resources,1109000,,-213000,896000,839000,833000,852000,
Department of the Interior,Bureau of Reclamation,Water and Related Resources,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Water and Related Resources,Water resources,222000,,-211000,11000,19000,16000,11000,
Department of the Interior,Bureau of Reclamation,Water and Related Resources,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Program Account,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Program Account,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Program Account,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Program Account,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,California Bay-Delta Restoration,Water resources,37000,,4000,41000,39000,46000,48000,
Department of the Interior,Bureau of Reclamation,Indian Water Rights Settlements,Water resources,0,,0,0,47000,81000,82000,
Department of the Interior,Bureau of Reclamation,Taos Settlement Fund,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Lower Colorado River Basin Development Fund,Water resources,13000,,-4000,9000,7000,8000,8000,
Department of the Interior,Bureau of Reclamation,Lower Colorado River Basin Development Fund,Water resources,-14000,,8000,-6000,2000,15000,21000,
Department of the Interior,Bureau of Reclamation,Upper Colorado River Basin Fund,Water resources,35000,,-14000,21000,4000,5000,5000,
Department of the Interior,Bureau of Reclamation,Upper Colorado River Basin Fund,Water resources,-44000,,38000,-6000,3000,-6000,-6000,
Department of the Interior,Bureau of Reclamation,Working Capital Fund,Water resources,-22000,,28000,6000,1000,-1000,0,
Department of the Interior,Bureau of Reclamation,Policy and Administration,Water resources,56000,,13000,69000,60000,62000,63000,
Department of the Interior,Bureau of Reclamation,Central Valley Project Restoration Fund,Water resources,47000,,13000,60000,53000,60000,61000,
Department of the Interior,Bureau of Reclamation,Dutch John community assistance,General purpose fiscal assistance,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,San Gabriel Basin Restoration Fund,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,San Joaquin Restoration Fund,Water resources,0,,0,0,16000,26000,27000,
Department of the Interior,Bureau of Reclamation,San Joaquin Restoration Fund,Water resources,12000,,41000,53000,7000,13000,0,
Department of the Interior,Bureau of Reclamation,San Joaquin River Restoration Fund Receipts,Water resources,-31000,,-11000,-42000,-7000,-7000,-7000,
Department of the Interior,Bureau of Reclamation,Reclamation Water Settlements Fund,Water resources,0,,37000,37000,47000,46000,37000,
Department of the Interior,Bureau of Reclamation,"Colorado River Dam Fund, Boulder Canyon Project",Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,"Colorado River Dam Fund, Boulder Canyon Project",Water resources,83000,,12000,95000,108000,112000,112000,
Department of the Interior,Bureau of Reclamation,"Colorado River Dam Fund, Boulder Canyon Project",Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Reclamation Trust Funds,Water resources,1000,,12000,13000,3000,3000,3000,
Department of the Interior,Bureau of Reclamation,Miscellaneous permanent appropriations,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Miscellaneous permanent appropriations,Water resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Miscellaneous permanent appropriations,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Reclamation,Miscellaneous permanent appropriations,General purpose fiscal assistance,0,,0,0,0,0,0,
Department of the Interior,Central Utah Project,Central Utah Project Completion Account,Water resources,27000,,0,27000,4000,3000,3000,
Department of the Interior,Central Utah Project,Utah Reclamation Mitigation and Conservation Account,Water resources,2000,,2000,4000,2000,1000,1000,
Department of the Interior,Central Utah Project,Utah Reclamation Mitigation and Conservation Account,Water resources,3000,,-1000,2000,5000,8000,7000,
Department of the Interior,United States Geological Survey,"Barrow area gas operation, exploration, and development",Energy supply,0,,0,0,0,0,0,
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",Other natural resources,1067000,,81000,1148000,1196000,1188000,1215000,
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",Other natural resources,7000,,-1000,6000,1000,1000,1000,
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",Other natural resources,0,,0,0,0,0,0,
Department of the Interior,United States Geological Survey,Exploration of national petroleum reserve in Alaska,Energy supply,0,,0,0,0,0,0,
Department of the Interior,United States Geological Survey,Working Capital Fund,Other natural resources,12000,,-38000,-26000,-8000,1000,0,
Department of the Interior,United States Geological Survey,Operation and maintenance of quarters,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,United States Geological Survey,Donations and contributed funds,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,United States Geological Survey,Contributed Funds,Other natural resources,1000,,0,1000,1000,1000,1000,
Department of the Interior,Bureau of Mines,Drainage of anthracite mines,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Mines,Drainage of anthracite mines,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Mines,Mines and Minerals,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Mines,Mines and Minerals,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,Bureau of Mines,Contributed funds,Other natural resources,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Resource Management,Conservation and land management,1245000,,90000,1335000,1373000,1392000,1412000,
Department of the Interior,United States Fish and Wildlife Service,Resource Management,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Resource Management,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Construction,Conservation and land management,69000,,-29000,40000,54000,50000,30000,
Department of the Interior,United States Fish and Wildlife Service,Construction,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Natural resource damage assessment fund,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Natural resource damage assessment fund,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Multinational Species Conservation Fund,Conservation and land management,9000,,2000,11000,10000,10000,10000,
Department of the Interior,United States Fish and Wildlife Service,Multinational Species Conservation Fund,Conservation and land management,-1000,,1000,0,0,1000,1000,
Department of the Interior,United States Fish and Wildlife Service,Commercial salmon fishery capacity reduction,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Rewards and operations,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,State and Tribal Wildlife Grants,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Neotropical Migratory Bird Conservation,Conservation and land management,4000,,1000,5000,5000,5000,4000,
Department of the Interior,United States Fish and Wildlife Service,Land Acquisition,Conservation and land management,49000,,13000,62000,64000,75000,77000,
Department of the Interior,United States Fish and Wildlife Service,Land Acquisition,Conservation and land management,0,,0,0,14000,22000,0,
Department of the Interior,United States Fish and Wildlife Service,Development and operation of recreation facilities,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Federal Aid in Wildlife Restoration,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Federal Aid in Wildlife Restoration,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Federal Aid in Wildlife Restoration,Recreational resources,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Federal Aid in Wildlife Restoration,Recreational resources,377000,,90000,467000,544000,585000,579000,
Department of the Interior,United States Fish and Wildlife Service,Operation and maintenance of quarters,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,National Wildlife Refuge Fund,General purpose fiscal assistance,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,National Wildlife Refuge Fund,General purpose fiscal assistance,14000,,0,14000,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,National Wildlife Refuge Fund,General purpose fiscal assistance,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,National Wildlife Refuge Fund,General purpose fiscal assistance,7000,,-1000,6000,8000,8000,8000,
Department of the Interior,United States Fish and Wildlife Service,Migratory Bird Conservation Account,Recreational resources,59000,,-3000,56000,64000,67000,67000,
Department of the Interior,United States Fish and Wildlife Service,Cooperative Endangered Species Conservation Fund,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Cooperative Endangered Species Conservation Fund,Conservation and land management,50000,,38000,88000,82000,73000,70000,
Department of the Interior,United States Fish and Wildlife Service,Cooperative Endangered Species Conservation Fund,Conservation and land management,0,,0,0,0,0,0,
Department of the Interior,United States Fish and Wildlife Service,Cooperative Endangered Species Conservation Fund,Conservation and land management,53000,,10000,63000,65000,65000,71000,
Department of the Interior,United States Fish and Wildlife Service,Wildlife Conservation and Appreciation Fund,Conservation and land management,0,,0,0,0,0,0,
